SL.No,Repository Name,Total Number of Issues,Number of Security Issues,Percentage of Security Issues 
,,,,
1,trufflesuite/truffle,3924,456,12.00%
,,,,
2,ethereum/mist,3890,1291,33.00%
,,,,
3,MetaMask/metamask-extension,10547,2419,23.00%
,,,,
4,ConsenSys/smart-contract-best-practices,255,51,20.00%
,,,,
5,ConsenSys/quorum,1152,129,11.00%
,,,,
6,embarklabs/embark,2471,254,10.00%
,,,,
7,ethereum/ethereumj,1193,152,13.00%
,,,,
8,deckarep/golang-set,76,8,11.00%
,,,,
9,ConsenSys/Tokens,154,17,11.00%
,,,,
10,trustwallet/trust-wallet-ios,959,174,18.00%
,,,,
11,sigp/lighthouse,2253,274,12.00%
,,,,
12,Zokrates/ZoKrates,770,101,13.00%
,,,,
13,MyCryptoHQ/MyCrypto,3874,739,19.00%
,,,,
14,ethereumjs/ethereumjs-monorepo,1156,100,9.00%
,,,,
15,EYBlockchain/nightfall,467,75,16.00%
,,,,
16,nomiclabs/hardhat,1342,103,8.00%
,,,,
17,MyEtherWallet/MyEtherWallet,2907,348,12.00%
,,,,
18,cosmos/ethermint-archive,527,36,7.00%
,,,,
19,status-im/status-go,2174,236,11.00%
,,,,
20,ethhub-io/ethhub,496,30,6.00%
,,,,
21,AugurProject/augur-core,762,85,11.00%
,,,,
22,crytic/echidna,629,57,9.00%
,,,,
23,rainbow-me/rainbow,1863,184,10.00%
,,,,
24,ConsenSys/ethql,142,17,12.00%
,,,,
25,ethereumjs/ethereumjs-util,290,44,15.00%
,,,,
26,Web3Modal/web3modal,252,57,23.00%
,,,,
27,trufflesuite/drizzle-legacy,224,39,17.00%
,,,,
28,web3p/web3.php,201,23,11.00%
,,,,
29,EthWorks/ethereum.rb,147,24,16.00%
,,,,
30,matter-labs/zksync,293,43,15.00%
,,,,
31,rocket-pool/rocketpool,194,23,12.00%
,,,,
32,ethereumproject/go-ethereum,724,68,9.00%
,,,,
33,MetaMask/web3-provider-engine,362,48,13.00%
,,,,
34,walleth/walleth,513,80,16.00%
,,,,
35,ethereum/trinity,2106,175,8.00%
,,,,
36,yuzushioh/EthereumKit,173,38,22.00%
,,,,
37,WeTrustPlatform/rosca-contracts,195,25,13.00%
,,,,
38,leapdao/solEVM-enforcer,184,31,17.00%
,,,,
39,OpenZeppelin/openzeppelin-upgrades,312,54,17.00%
,,,,
40,ChainSafe/web3.js,3642,531,15.00%
,,,,
41,ethereum/solidity,10844,1017,9.00%
,,,,
42,openethereum/parity-ethereum,11606,2401,21.00%
,,,,
43,ethereum/EIPs,2958,353,12.00%
,,,,
44,ethereum/wiki,430,58,13.00%
,,,,
45,ethereum/ethereum-org-website,2578,155,6.00%
,,,,
46,ethereum/web3.py,1915,283,15.00%
,,,,
47,ethereum/evmone,292,10,3.00%
,,,,
48,ethereum/remix-project,991,70,7.00%
,,,,
49,ethereum-mining/ethminer,2208,205,9.00%
,,,,
50,ethereum/aleth,5532,529,10.00%
,,,,
51,web3j/web3j,1377,239,17.00%
,,,,
52,status-im/status-react,11859,1902,16.00%
,,,,
53,trufflesuite/ganache-cli,781,88,11.00%
,,,,
54,trufflesuite/ganache,2436,174,7.00%
,,,,
55,ethers-io/ethers.js,1364,286,21.00%
,,,,
56,prysmaticlabs/prysm,8617,1387,16.00%
,,,,
57,ethereum/eth2.0-specs,2234,262,12.00%
,,,,
58,trustwallet/trust-wallet-ios,959,174,18.00%
,,,,
59,TokenMarketNet/smart-contracts,180,24,13.00%
,,,,
60,Nethereum/Nethereum,665,119,18.00%
,,,,
61,ethereum/py-evm,1883,149,8.00%
,,,,
62,sammy007/open-ethereum-pool,458,71,16.00%
,,,,
63,ethereum/yellowpaper,783,69,9.00%
,,,,
64,poanetwork/blockscout,3679,650,18.00%
,,,,
65,graphprotocol/graph-node,2291,172,8.00%
,,,,
66,cubedro/eth-netstats,359,30,8.00%
,,,,
67,ethereum-ts/TypeChain,359,21,6.00%
,,,,
68,aragon/client,1535,160,10.00%
,,,,
69,ethereumjs/ethereumjs-wallet,145,42,29.00%
,,,,
70,district0x/ethlance,309,27,9.00%
,,,,
71,ethereum/go-ethereum,11532,1371,12.00%
